id;lang;title;content;image;image_content_type
1;FR;Music Awesome Assistant;digital synthesizing Associate;../fake-data/blob/hipster.png;image/png
2;EN;Ridge convergence input;transmit Licensed;../fake-data/blob/hipster.png;image/png
3;DE;blue;Car open-source New;../fake-data/blob/hipster.png;image/png
4;DE;Mill;Security bi-directional;../fake-data/blob/hipster.png;image/png
5;FR;Agent Credit;HTTP Games;../fake-data/blob/hipster.png;image/png
6;FR;Chilean SSL supply-chains;Account Account New;../fake-data/blob/hipster.png;image/png
7;DE;Keyboard Practical programming;Steel B2C circuit;../fake-data/blob/hipster.png;image/png
8;DE;hard concept Dollar;Configuration e-commerce;../fake-data/blob/hipster.png;image/png
9;FR;extensible visualize;open-source granular;../fake-data/blob/hipster.png;image/png
10;DE;Future matrix Argentine;Avon blue Internal;../fake-data/blob/hipster.png;image/png
