id;lang;title;content;image;image_content_type
1;DE;Music open-source;online upward-trending Progressive;../fake-data/blob/hipster.png;image/png
2;DE;Bedfordshire;copying compelling well-modulated;../fake-data/blob/hipster.png;image/png
3;DE;SCSI architectures;Plastic;../fake-data/blob/hipster.png;image/png
4;EN;Associate bandwidth;sensor Gorgeous primary;../fake-data/blob/hipster.png;image/png
5;EN;Account Manager Account;withdrawal;../fake-data/blob/hipster.png;image/png
6;EN;Michigan indigo Frozen;Shirt Throughway;../fake-data/blob/hipster.png;image/png
7;FR;transmitting;New Berkshire;../fake-data/blob/hipster.png;image/png
8;EN;Denmark Well;Incredible Circle Islands;../fake-data/blob/hipster.png;image/png
9;FR;exuding Rupee Officer;Regional;../fake-data/blob/hipster.png;image/png
10;EN;Generic;index;../fake-data/blob/hipster.png;image/png
