id;lang;title;content;image;image_content_type
1;FR;matrices;panel Assistant;../fake-data/blob/hipster.png;image/png
2;EN;Concrete Designer bandwidth;Clothing;../fake-data/blob/hipster.png;image/png
3;EN;invoice Berkshire;collaborative digital Rubber;../fake-data/blob/hipster.png;image/png
4;FR;online Lempira;withdrawal Lanka;../fake-data/blob/hipster.png;image/png
5;DE;compress;withdrawal Customer;../fake-data/blob/hipster.png;image/png
6;DE;web-enabled Factors Fantastic;bus 1080p bus;../fake-data/blob/hipster.png;image/png
7;DE;Gateway red Personal;hardware reboot core;../fake-data/blob/hipster.png;image/png
8;FR;Taka Bedfordshire;Extensions Gloves Industrial;../fake-data/blob/hipster.png;image/png
9;EN;best-of-breed;withdrawal Dakota Kenyan;../fake-data/blob/hipster.png;image/png
10;FR;navigate Mouse;Home;../fake-data/blob/hipster.png;image/png
